class	key	points	range	values
education	amenity	3	2000	kindergarten
education	amenity	5	3000	school,music_school,language_school
education	amenity	20	10000	university,college
education	amenity	5	1000	library
restaurants	amenity	5	750	restaurant,fast_food
restaurants	amenity	15	1000	food_court
entertainment	amenity	5	750	pub,bar
restaurants	amenity	5	750	cafe,ice_cream
shopping	amenity	1	750	bank,atm
parking	amenity	5	250	parking
parking	parking	5	250	*
transport	amenity	5	300	bus_station
transport	public_transport	5	300	station
transport	railway	10	500	station
transport	aeroway	15	1000	aerodrome,terminal
healthcare	amenity	10	500	clinic,doctors,dentist
healthcare	healthcare	10	500	*
healthcare	amenity	5	500	pharmacy
healthcare	amenity	20	1000	hospital
entertainment	amenity	20	1000	cinema,theatre,arts_centre
entertainment	amenity	10	800	nightclub
shopping	shop	5	500	*
shopping	amenity	10	800	marketplace
leisure	leisure	5	500	garden,park,dog_park
leisure	leisure	5	800	sports_centre,sports_hall,stadium,track,pitch,horse_riding,swimming_pool,fitness_centre,fitness_station
leisure	sport	5	800	fitness
leisure	landuse	5	1500	recreation_ground,winter_sports
leisure	tourism	5	1500	*
